Time_h,10_mM,5_mM,2.5_mM,1.25_mM,0.782_mM,0.625_mM,0.313_mM,0.156_mM
48.97397397397397,4.748392944886312,6.710400097234667,8.77037392372528,7.378140937273726,6.223384306051619,7.702316109901744,6.630363004060548,9.726817687728142
49.069069069069066,4.743395171109665,6.708209795329538,8.771339050161298,7.376160055929478,6.220183812421889,7.7015617588243765,6.625015705546542,9.72830540979529
49.16416416416416,4.738326027210463,6.705977807804913,8.772336778432297,7.374145726860207,6.216933712541463,7.700790351308788,6.61953636144964,9.72981111065591
49.25925925925926,4.733182556875955,6.703702334206217,8.77336865903888,7.372096511199534,6.213631948804436,7.700001123057658,6.613918895522337,9.731335479644875
49.35435435435435,4.727961803793396,6.701381574078878,8.774436242481638,7.37001097008108,6.21027646360491,7.699193309773657,6.608157231517129,9.73287920609706
49.449449449449446,4.722660811650034,6.699013726968326,8.77554107926117,7.367887664638468,6.206865199336982,7.698366147159461,6.60224529318651,9.734442979347339
49.54454454454454,4.717276624133119,6.696596992419983,8.776684719878077,7.3657251560053245,6.203396098394755,7.697518870917741,6.596177004282977,9.736027488730583
49.63963963963964,4.711806284929905,6.694129569979279,8.777868714832948,7.363522005315271,6.199867103172325,7.696650716751174,6.589946288559028,9.737633423581673
49.73473473473473,4.706246837727641,6.691609659191644,8.779094614626388,7.361276773701932,6.196276156063796,7.695760920362433,6.583547069767157,9.73926147323548
49.829829829829826,4.700595326213577,6.689035459602501,8.780363969758989,7.358988022298927,6.192621199463262,7.6948487174541915,6.57697327165986,9.740912327026873
49.92492492492492,4.694848794074965,6.68640517075728,8.781678330731351,7.3566543122398835,6.188900175764825,7.693913343729126,6.570218817989633,9.742586674290736
50.02002002002002,4.689004312737339,6.683717006673512,8.783039238316338,7.354274216844031,6.185111045897227,7.692954040525936,6.563277675179792,9.744285196941174
50.11511511511511,4.683064115980769,6.680971874763577,8.784446422864544,7.351848577286319,6.1812552202601445,7.69197109810082,6.556151751092587,9.746007195818859
50.21021021021021,4.677041621314347,6.678176517412606,8.785895692626317,7.349383147826161,6.177341582189855,7.6909670790856834,6.548860157930007,9.747748979805838
50.3053053053053,4.670951709008194,6.675338440183267,8.787382342866088,7.346884325323343,6.173379992435486,7.689944843324804,6.54142425811286,9.74950646645489
50.4004004004004,4.664809259332428,6.672465148638223,8.788901668848293,7.344358506637652,6.169380311746158,7.688907250662464,6.533865414061957,9.751275573318798
50.49549549549549,4.65862915255717,6.669564148340143,8.79044896583736,7.341812088628877,6.165352400870997,7.687857160942935,6.526204988198109,9.753052217950344
50.59059059059059,4.652426268952535,6.6666429448516915,8.792019529097733,7.339251468156801,6.161306120559128,7.686797434010501,6.518464342942123,9.754832317902315
50.685685685685684,4.646215488788645,6.663709043735537,8.793608653893838,7.336683042081214,6.157251331559676,7.685730929709435,6.510664840714813,9.756611790727487
50.78078078078078,4.640011692335618,6.660769950554342,8.795211635490114,7.3341132072618995,6.153197894621762,7.684660507884019,6.502827843936985,9.758386553978644
